상품명,판매가격,세일여부,1+1,구매여부,세일여부,1+1,1+1에따른가격
오뚜기 찹쌀 왕만두피(300g),1850,N,N,0,0,0,1850
오뚜기 찹쌀 왕만두피(300g),1540,N,N,0,0,0,1540
해태 찹쌀 왕만두피(360g),2180,N,N,0,0,0,2180
해태 찹쌀 왕만두피(360g),2500,N,N,0,0,0,2500
해태 찹쌀 왕만두피(360g),1980,N,N,1,0,1,990
해태 찹쌀 왕만두피(360g),1850,N,N,0,0,0,1850
해태 찹쌀 왕만두피(360g),2700,N,N,0,0,0,2700
해태 찹쌀 왕만두피(360g),1900,N,N,0,0,0,1900
해태 찹쌀 왕만두피(360g),3600,N,N,0,0,0,3600
해태 찹쌀 왕만두피(360g),1800,N,N,0,0,0,1800
해태 찹쌀 왕만두피(360g),2200,N,N,0,0,0,2200
곰표 다목적밀가루(1kg),1690,N,N,0,0,0,1690
곰표 다목적밀가루(1kg),1280,N,N,0,0,0,1280
곰표 다목적밀가루(1kg),1400,N,N,0,0,0,1400
곰표 다목적밀가루(1kg),1130,Y,N,0,1,0,1130
곰표 다목적밀가루(1kg),1180,Y,N,0,1,0,1180
곰표 다목적밀가루(1kg),1000,N,N,0,0,0,1000
곰표 다목적밀가루(1kg),1990,N,N,0,0,0,1990
곰표 다목적밀가루(1kg),1590,N,N,0,0,0,1590
곰표 다목적밀가루(1kg),1790,N,N,0,0,0,1790
곰표 다목적밀가루(1kg),1650,N,N,0,0,0,1650
곰표 다목적밀가루(1kg),1890,N,N,0,0,0,1890
곰표 다목적밀가루(1kg),1500,N,N,0,0,0,1500
곰표 다목적밀가루(1kg),1250,N,N,0,0,0,1250
곰표 다목적밀가루(1kg),1550,N,N,0,0,0,1550
곰표 다목적밀가루(1kg),1420,Y,N,0,1,0,1420
곰표 다목적밀가루(1kg),1750,N,N,0,0,0,1750
곰표 다목적밀가루(1kg),1200,N,N,0,0,0,1200
곰표 다목적밀가루(1kg),1600,N,N,0,0,0,1600
곰표 다목적밀가루(1kg),1700,N,N,0,0,0,1700
곰표 다목적밀가루(1kg),1150,Y,N,0,1,0,1150
곰표 다목적밀가루(1kg),1450,N,N,1,0,1,725
곰표 다목적밀가루(1kg),1300,N,N,0,0,0,1300
곰표 다목적밀가루(1kg),1330,N,N,0,0,0,1330
곰표 다목적밀가루(1kg),1150,N,N,0,0,0,1150
곰표 다목적밀가루(1kg),1450,Y,N,0,1,0,1450
곰표 다목적밀가루(1kg),2000,N,N,0,0,0,2000
곰표 다목적밀가루(1kg),1010,N,N,0,0,0,1010
백설 중력밀가루(1kg),1790,N,N,0,0,0,1790
백설 중력밀가루(1kg),1600,N,N,0,0,0,1600
백설 중력밀가루(1kg),1600,Y,N,0,1,0,1600
백설 중력밀가루(1kg),1500,N,N,0,0,0,1500
백설 중력밀가루(1kg),1550,N,N,0,0,0,1550
백설 중력밀가루(1kg),1450,N,N,0,0,0,1450
백설 중력밀가루(1kg),1990,N,N,0,0,0,1990
백설 중력밀가루(1kg),1680,N,N,0,0,0,1680
백설 중력밀가루(1kg),1300,N,N,0,0,0,1300
백설 중력밀가루(1kg),1400,N,N,0,0,0,1400
백설 중력밀가루(1kg),1890,N,N,0,0,0,1890
백설 중력밀가루(1kg),1200,N,N,0,0,0,1200
백설 중력밀가루(1kg),1800,N,N,0,0,0,1800
백설 중력밀가루(1kg),990,N,N,1,0,0,990
백설 중력밀가루(1kg),1700,N,N,0,0,0,1700
백설 중력밀가루(1kg),1380,N,N,0,0,0,1380
백설 중력밀가루(1kg),1850,N,N,0,0,0,1850
백설 중력밀가루(1kg),1250,N,N,0,0,0,1250
백설 중력밀가루(1kg),1590,N,N,0,0,0,1590
백설 중력밀가루(1kg),2050,N,N,0,0,0,2050
큐원 영양강화밀가루(1kg),1490,N,N,1,0,1,745
큐원 영양강화밀가루(1kg),1000,N,N,0,0,0,1000
큐원 영양강화밀가루(1kg),1350,N,N,0,0,0,1350
큐원 영양강화밀가루(1kg),1600,N,N,0,0,0,1600
큐원 영양강화밀가루(1kg),1500,N,N,0,0,0,1500
큐원 영양강화밀가루(1kg),1410,N,N,0,0,0,1410
큐원 영양강화밀가루(1kg),1380,N,N,0,0,0,1380
백설부침가루(1kg),2290,N,N,0,0,0,2290
백설부침가루(1kg),2520,N,N,0,0,0,2520
백설부침가루(1kg),2100,N,N,0,0,0,2100
백설부침가루(1kg),1850,Y,N,0,1,0,1850
백설부침가루(1kg),2400,N,N,0,0,0,2400
백설부침가루(1kg),1980,Y,N,0,1,0,1980
백설부침가루(1kg),1800,N,N,0,0,0,1800
